position distance_dtw forecast_error
|Point(x=12, y=98)| 1.702 0.218
|Point(x=12, y=99)| 1.737 0.248
|Point(x=12, y=101)| 1.805 0.233
|Point(x=12, y=102)| 1.677 0.197
|Point(x=12, y=103)| 1.724 0.191
|Point(x=13, y=62)| 1.434 0.112
|Point(x=13, y=63)| 1.477 0.081
|Point(x=13, y=64)| 1.431 0.061
|Point(x=13, y=65)| 1.496 0.115
|Point(x=13, y=67)| 1.634 0.190
|Point(x=13, y=69)| 1.595 0.178
|Point(x=13, y=70)| 1.464 0.151
|Point(x=13, y=71)| 1.432 0.135
|Point(x=13, y=72)| 1.510 0.135
|Point(x=13, y=73)| 1.568 0.136
|Point(x=13, y=74)| 1.598 0.158
|Point(x=13, y=75)| 1.627 0.173
|Point(x=13, y=76)| 1.680 0.184
|Point(x=13, y=77)| 1.809 0.189
|Point(x=13, y=80)| 1.689 0.203
|Point(x=13, y=81)| 1.611 0.211
|Point(x=13, y=82)| 1.703 0.237
|Point(x=13, y=83)| 1.769 0.254
|Point(x=13, y=84)| 1.748 0.262
|Point(x=13, y=85)| 1.864 0.286
|Point(x=13, y=86)| 1.900 0.275
|Point(x=13, y=87)| 1.866 0.219
|Point(x=13, y=88)| 1.868 0.212
|Point(x=13, y=89)| 1.716 0.199
|Point(x=13, y=90)| 1.607 0.188
|Point(x=13, y=91)| 1.573 0.171
|Point(x=13, y=92)| 1.603 0.178
|Point(x=13, y=93)| 1.759 0.227
|Point(x=13, y=94)| 1.700 0.250
|Point(x=13, y=95)| 1.712 0.248
|Point(x=13, y=96)| 1.768 0.259
|Point(x=13, y=97)| 1.854 0.268
|Point(x=13, y=98)| 1.873 0.275
|Point(x=13, y=102)| 1.838 0.263
|Point(x=13, y=103)| 1.828 0.302
|Point(x=14, y=46)| 1.726 0.213
|Point(x=14, y=62)| 1.517 0.134
|Point(x=14, y=63)| 1.565 0.133
|Point(x=14, y=64)| 1.460 0.051
|Point(x=14, y=66)| 1.624 0.155
|Point(x=14, y=67)| 1.668 0.189
|Point(x=14, y=68)| 1.626 0.164
|Point(x=14, y=69)| 1.467 0.130
|Point(x=14, y=70)| 1.414 0.115
|Point(x=14, y=71)| 1.446 0.110
|Point(x=14, y=72)| 1.473 0.121
|Point(x=14, y=73)| 1.527 0.135
|Point(x=14, y=74)| 1.576 0.169
|Point(x=14, y=75)| 1.661 0.185
|Point(x=14, y=77)| 1.650 0.167
|Point(x=14, y=78)| 1.588 0.156
|Point(x=14, y=79)| 1.525 0.161
|Point(x=14, y=80)| 1.529 0.172
|Point(x=14, y=81)| 1.603 0.222
|Point(x=14, y=82)| 1.556 0.240
|Point(x=14, y=83)| 1.509 0.242
|Point(x=14, y=84)| 1.588 0.250
|Point(x=14, y=85)| 1.620 0.276
|Point(x=14, y=86)| 1.694 0.294
|Point(x=14, y=87)| 1.679 0.275
|Point(x=14, y=88)| 1.648 0.260
|Point(x=14, y=89)| 1.620 0.248
|Point(x=14, y=90)| 1.550 0.215
|Point(x=14, y=94)| 1.688 0.302
|Point(x=14, y=95)| 1.687 0.295
|Point(x=14, y=96)| 1.763 0.319
|Point(x=14, y=97)| 1.915 0.313
|Point(x=14, y=102)| 1.933 0.267
|Point(x=15, y=62)| 1.461 0.181
|Point(x=15, y=63)| 1.587 0.108
|Point(x=15, y=64)| 1.541 0.085
|Point(x=15, y=65)| 1.544 0.065
|Point(x=15, y=66)| 1.625 0.113
|Point(x=15, y=67)| 1.577 0.136
|Point(x=15, y=68)| 1.514 0.135
|Point(x=15, y=69)| 1.477 0.122
|Point(x=15, y=70)| 1.487 0.110
|Point(x=15, y=71)| 1.498 0.108
|Point(x=15, y=72)| 1.531 0.119
|Point(x=15, y=73)| 1.536 0.121
|Point(x=15, y=74)| 1.557 0.145
|Point(x=15, y=75)| 1.549 0.150
